10037_at_anaerobic	2	35.7	19	33.6	25.3	19.2	26.4	26	23.7	16.4	19.6	36	29.1
10038_i_at_aerobic	1	437.6	395.3	458.8	426.7	443.8	395	462.6	324	435.8	338.7	956.5	477.8
10038_i_at_anaerobic	2	512.7	386.4	353.6	308.7	282.9	305.6	372.7	358.3	894.2	310	501.8	426.9
10039_s_at_aerobic	1	70.5	63.7	67.5	60.8	42.3	46.4	8.6	26.8	67.8	54	145.1	56.7
10039_s_at_anaerobic	2	67.4	41.4	36.5	40.6	29.4	46	45.2	45.9	35.8	41.5	68.3	57.1
10040_at_aerobic	1	100.3	70.1	105.3	62.8	50.6	55.9	23.8	52.9	98.2	60.6	191.5	71.9
10040_at_anaerobic	2	99.9	61.2	51.4	59.8	46	74.9	56.6	61.3	77.5	44.8	69	100
10041_at_aerobic	1	13.4	1.2	7.5	7.4	6	2.6	14	6	1.3	8.8	8.4	7
10041_at_anaerobic	2	9.7	3.8	4	3.5	6	5.8	8.3	5.5	22.3	5.3	6.9	5.4
10042_at_aerobic	1	30.9	16.2	18.7	32	25	20.8	23.8	19.3	11.4	29.3	17.9	20.4
10042_at_anaerobic	2	26.4	10.1	23.2	21	26.5	23	10.7	5.8	12.1	12.9	23.3	20.1
10043_at_aerobic	1	403.5	350.4	428.3	83.9	87	107.2	67.4	55.8	41.2	48.2	46.1	51
10043_at_anaerobic	2	53	16.9	39.9	73.1	62.6	78	58.3	56	80.2	53.7	78.3	61.2
10044_at_aerobic	1	86.2	88.2	71.3	140.4	126.1	122	186.7	173	141.2	145	127.1	138.2
10044_at_anaerobic	2	95.2	39.4	112.9	129.7	154.1	126.1	126.5	114.8	130.3	122.1	168	154.7
10045_at_aerobic	1	1452	1278.8	1232.3	1939.5	1805.7	2069.8	2066	1997.5	1702.2	1754.7	1334.2	1592.4
10045_at_anaerobic	2	1561.7	1515.7	2009.6	1981.2	1787.4	2054.6	2022.5	1711.3	1771.4	1892.5	2086.7	1849.3
10046_at_aerobic	1	16.1	13	16.1	18.8	16.1	11.6	17.1	16.7	9.6	24.1	31.8	20
10046_at_anaerobic	2	13.2	4.4	14.4	18.3	21.7	14.2	11.8	12.2	15.7	12.8	21.1	19.1
10047_f_at_aerobic	1	2203.6	3093.5	1956.6	2766.9	2630.4	2653.3	2777.2	2918.1	3223.8	3576.2	2798.5	2874.2
10047_f_at_anaerobic	2	2576.7	6041.5	3696	2884.8	2092	3666.1	2741.8	2773.6	3095.8	2719.3	2765.8	2686.3
10048_at_aerobic	1	56.5	65.2	61	77.1	75.1	74	53.3	54.3	45.6	53.4	55.4	48.5
10048_at_anaerobic	2	44.7	18.4	31.6	84.3	58.6	59.1	46.7	45.2	67.2	49.8	51	52.2
10049_at_aerobic	1	46.3	40.5	40.9	43.7	32.6	47.1	48.9	27.3	32.5	27.7	30	28.2
10049_at_anaerobic	2	42.5	16.6	29.6	25.8	45.5	25.7	28.5	27.5	51	19.9	32.7	28.5
10050_at_aerobic	1	248.9	346.7	325.8	303.8	334.6	319.7	246.6	162.7	234	190.2	230	215.2
10050_at_anaerobic	2	241.5	146.7	308.6	452.2	391.8	416.9	364.9	339.2	408.6	253.9	404.5	286.7
10051_at_aerobic	1	81.7	100.6	90.8	122.1	96.9	102.3	119.7	114.9	98	109.7	119.3	135.3
10051_at_anaerobic	2	114.2	75.6	85.2	122.7	104.2	100	109	104.4	124.2	109.9	164.2	135.4
10052_at_aerobic	1	176.3	159.2	208.1	217.2	237.1	185.9	154.4	182.5	246.3	243.8	307.5	248.6
10052_at_anaerobic	2	195.5	84.4	245.3	344.5	352.3	320.4	415.8	366.2	333.5	305.9	417.2	376
10053_at_aerobic	1	614.9	585.6	611.1	683.3	567.5	636.1	804.8	739.7	824.1	755.8	922.3	948.1
10053_at_anaerobic	2	1040.7	788.8	892.1	680.6	673.7	561.8	1169.6	1068	1060	1023.9	1151.5	940
