KP=KP00164-750	1	0.6304	0.6229	-0.2645	-0.3183	-0.7329	-0.4894	-0.5827	-0.5416	-0.5579	-0.3897	-0.5570	-0.4526	-0.5326	-0.8041	-0.7507	-0.6659	-0.3635	-0.9132	-0.9233	-1.0029	-0.9509	-0.8034	-0.9214	-1.1649	-0.8513	-1.0508	-0.8970	-0.9808
KP=KP00172-750	2	-0.7826	-0.3432	-0.2602	-0.2602	-0.3341	-0.1021	0.1021	0.0809	0.0233	-0.0533	0.0086	-0.0019	0.0506	0.0370	0.1358	0.4528	0.7695	0.1721	0.3899	0.7025	0.9789	1.3269	1.0582	1.4528	-0.0630	0.0239	0.2983	0.0062
KP=KP00173-225	1	1.0426	1.1427	0.6400	0.8945	0.9237	0.6597	0.5917	0.8955	1.4199	0.8341	0.9204	0.7536	0.7450	0.6443	1.3490	0.5008	0.6357	0.6110	0.5351	0.2924	0.5775	0.3737	0.2404	0.4576	0.6535	0.5581	0.6832	0.4222
KP=KP00176-735	3	-1.8925	-1.8927	-1.7529	-1.1402	-1.5606	-1.2220	-0.9490	-1.1109	-1.2678	-1.0067	-1.1681	-0.9666	-1.1953	-0.7686	-1.4779	-0.2384	0.7827	-0.1062	0.1084	0.5840	0.9013	1.4573	1.9333	1.6705	1.7980	1.3582	0.8852	1.6835
KP=KP00179-750	1	1.5926	0.7306	0.2327	0.1388	-0.1356	-0.0429	0.1208	0.0172	-0.1477	-0.0770	-0.3696	-0.0529	-0.2054	-0.2538	-0.3954	-0.0589	0.0845	-0.2374	-0.3124	-0.2260	-0.1208	-0.3322	-0.0077	-1.0000	-0.3053	-0.2294	-0.3341	-0.3516
KP=KP00180-335	2	-1.3425	-1.1244	-0.8565	-0.1828	-0.6089	-0.1573	0.0010	-0.2357	-0.5381	-0.2946	-0.5735	-0.3548	-0.6820	-0.5305	-1.4139	-0.9799	0.1541	-0.6259	-0.1800	0.0877	0.9753	1.7447	1.5583	1.2614	-0.5879	-0.3846	-0.2014	-0.3814
KP=KP00181-208	1	1.2220	0.9013	1.0036	1.3807	1.4622	1.2642	0.9772	0.9692	0.9328	0.7824	0.8584	0.8586	0.8016	0.7187	0.8496	0.5698	0.0612	0.7721	0.8076	0.5923	0.1217	0.2379	0.3837	-0.2481	-0.1340	0.0800	0.2627	0.3234
KP=KP00204-750	1	2.0988	1.5420	1.3330	0.8716	0.3524	0.4744	0.9523	1.2149	1.9010	0.9647	1.2566	1.1899	0.6960	0.7476	1.0484	0.3859	-0.4183	-0.5243	-0.6230	-0.3771	-0.5479	-0.6164	-0.3616	-1.1769	-0.4921	-0.3117	-0.4639	-0.5347
KP=KP00209-183	3	-0.5742	-0.6023	-0.3432	-0.3419	-0.4228	-0.7044	-0.2898	-0.6477	-0.6873	-0.2793	-0.5655	-0.4976	-0.4035	-0.4785	-0.6371	-0.6613	-0.5936	-0.6857	-0.2121	-0.2401	-0.4338	-0.2171	0.6104	-0.0311	0.9280	1.1455	1.0061	1.7436
KP=KP00226-699	2	-1.2630	-0.7703	-0.6409	-0.5649	-0.6409	-0.3383	-0.1709	-0.2946	-0.6897	-0.3709	-0.2746	-0.2851	-0.2723	-0.5318	-0.7305	-0.2810	-0.0729	-0.2648	-0.2550	-0.0821	0.8139	1.5887	1.0213	1.2843	-0.1011	0.0068	0.1160	-0.0615
